@relation questions

@attribute age_of_account numeric
@attribute badge_score numeric
@attribute posts_with_neg_score numeric
@attribute post_score numeric
@attribute accepted_answer_score numeric
@attribute comment_score numeric
@attribute num_of_URLs numeric
@attribute num_of_stackOverflow_URLs numeric
@attribute title_length numeric
@attribute body_length numeric
@attribute num_of_tags numeric
@attribute num_of_punctuation_marks numeric
@attribute num_of_short_words numeric
@attribute num_of_special_characters numeric
@attribute num_of_lower_case_characters numeric
@attribute num_of_upper_case_characters numeric
@attribute code_snippet_length numeric
@attribute class {closed,not_closed}

@data
1437710438816.999936,0.009435,0,5,0,0,0,0,33,390,4,6,36,25,284,9,0,closed
1437679928387.000064,0.022006,1,37,90,3,0,0,74,485,2,9,37,41,356,4,0,closed
1437636820448.999936,0.015464,1,-8,0,0,0,0,41,914,2,47,34,144,520,22,533,closed
1437652199704,0.016437,3,-7,15,0,0,0,88,382,3,6,37,26,273,12,27,closed
1437597430024,0.013806,2,-7,15,1,0,0,69,733,4,34,61,107,441,7,420,closed
1437627496416.999936,0.004866,2,-4,0,0,0,0,74,2857,5,83,111,414,1354,40,2423,closed
1437596785520.999936,0,1,-2,0,0,0,0,26,430,5,18,17,65,286,6,101,closed
1437674557836.999936,0.153144,0,33,30,0,0,0,37,1124,5,42,21,131,723,92,856,closed
1437673957355.000064,0.018813,1,10,0,1,0,0,52,757,3,37,28,172,413,11,404,closed
1437601005844.999936,0.003359,2,-2,0,0,0,0,21,2495,4,77,54,376,1331,92,2355,closed
1437601901836.999936,0.010376,3,1,15,3,0,0,40,345,2,7,32,12,258,10,0,closed
1437632804219.000064,0.034293,1,17,75,0,0,0,51,279,2,5,11,31,185,24,0,closed
1437651018718.000128,0.006666,1,0,15,0,0,0,67,466,3,15,22,86,245,18,144,closed
1437614392382.000128,0.008624,0,3,0,0,0,0,47,2113,3,59,62,227,1331,97,1286,closed
1437665289475.000064,0.610071,3,21,0,1,0,0,79,226,2,7,14,32,149,6,82,closed
1437667315228.999936,0.387462,3,59,135,8,0,0,46,1496,4,41,61,256,925,27,700,closed
1437603170772,0.001764,0,0,0,0,0,0,44,822,3,40,53,118,370,40,0,closed
1437592105044.999936,0.000853,0,4,0,0,1,0,42,1702,4,64,49,206,1128,34,894,closed
1437691749440,0.010051,0,7,0,2,0,0,63,543,3,14,45,37,382,15,0,closed
1437601049240.999936,0.014385,0,0,0,0,1,0,65,539,2,26,8,121,328,31,227,closed
1437608093808.999936,0.104752,1,48,75,0,0,0,35,346,1,7,11,62,237,4,89,closed
1437698234828.999936,0.440034,0,131,285,10,0,0,44,461,3,11,17,89,274,8,176,closed
1437596254204,0.013967,1,-1,0,0,0,0,44,1145,4,44,34,170,695,132,717,closed
